Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
100000,2.8538678,38.767914012738856,0.03259911,-0.9252641625949641,-0.9252641625949641,0.0061592394,-0.036015496,0.002714615,0.0027331554,0.024141146,0.0010000002,1.0
200000,0.8137322,32.017325923504416,-0.34523413,-0.8811236729546869,-0.8811236729546869,0.0024198259,0.20147282,0.0010756386,0.0011254646,0.0014127927,0.0010000002,1.0
300000,0.75276375,55.11947904869762,-0.5476513,-0.8122750764788546,-0.8122750764788546,0.0022041823,0.3786149,0.0010088403,0.0010418792,0.001289998,0.0010000002,1.0
400000,0.73042196,34.29417989417989,-0.64515156,-0.9002133032378492,-0.9002133032378492,0.0012529624,0.35569072,0.0005703853,0.00058228994,0.0016669305,0.0010000002,1.0
500000,0.65726036,38.24529042386185,-0.66808254,-0.8972926079430921,-0.8972926079430921,0.0016418393,0.39936396,0.000791647,0.0007857103,0.0016194752,0.0010000002,1.0
600000,0.66092175,37.51419800460476,-0.65825206,-0.8201839333301495,-0.8201839333301495,0.001382094,0.32552236,0.0006709534,0.00064388604,0.002828331,0.0010000002,1.0
700000,0.6991555,30.40120329322356,-0.6340629,-0.6987765810912169,-0.6987765810912169,0.0018809491,0.29725385,0.001013321,0.0007925186,0.005027708,0.0010000002,1.0
800000,0.41463158,23.3784046692607,-0.6533395,0.3485025153570004,0.3485025153570004,0.0024132002,0.28389087,0.0015154574,0.00078392355,0.00977054,0.0010000002,1.0
900000,0.6273358,19.669958847736627,-0.8730098,0.32113579908597356,0.32113579908597356,0.0025937678,0.19477265,0.0017105939,0.0006508147,0.021315614,0.0010000002,1.0
1000000,0.8070003,21.04226918798665,-0.9448332,0.18849456188440905,0.18849456188440905,0.0024715634,0.19348119,0.0014625321,0.0007709269,0.01928962,0.001,1.0
1100000,0.7504546,19.60004091653028,-0.96385956,0.3088071536510549,0.3088071536510549,0.0022567064,0.23066486,0.0015256726,0.00059190125,0.017704366,0.0010000002,1.0
1200000,0.65209883,17.28883183568678,-0.7859036,0.3644397072384784,0.3644397072384784,0.0018740416,0.12947065,0.0009822521,0.000616424,0.019055557,0.0010000002,1.0
1300000,1.017015,27.290377519159808,-0.7510921,-0.10339027816315176,-0.10339027816315176,0.002650912,0.21210891,0.0014682093,0.0009886837,0.016670134,0.0010000002,1.0
1400000,0.6165085,20.264643463497453,-0.967171,0.19863328283276338,0.19863328283276338,0.0022077279,0.18474811,0.0014057774,0.0005275447,0.018617945,0.0010000002,1.0
1500000,0.81164074,22.640478424015008,-0.93280613,-0.38245040505320915,-0.38245040505320915,0.001967641,0.24261972,0.0012853874,0.00042987103,0.013795946,0.0010000002,1.0
1600000,0.72656274,15.256532456861134,-0.88505703,-0.4940934912119498,-0.4940934912119498,0.00056309026,0.21872687,0.0002770188,0.0001247072,0.0024679955,0.0010000002,1.0
1700000,1.0381579,18.506553585196606,-0.5068531,0.22752609296357898,0.22752609296357898,0.0020336814,0.06872228,0.0009908482,0.00072587264,0.04286645,0.0010000002,1.0
1800000,0.72258073,18.659294680215183,-0.67967594,-0.7670116031504256,-0.7670116031504256,0.0007322584,0.23686378,0.00046381998,0.000196,0.0026839583,0.0010000002,1.0
1900000,0.84294003,17.90951755209311,-0.60060626,0.09018040519625374,0.09018040519625374,0.0021058097,0.11403042,0.0010952003,0.00058983563,0.023495369,0.0010000002,1.0
2000000,0.7421756,16.703094606542884,-0.6527855,0.1822469291343224,0.1822469291343224,0.0020910308,0.14937043,0.0016423296,0.00032370127,0.020296684,0.0010000002,1.0
2100000,0.5757044,16.70667137310272,-0.6278407,0.22424988807468427,0.22424988807468427,0.002195851,0.14730154,0.0018373374,0.00024868667,0.017669523,0.0010000002,1.0
2200000,0.58533984,18.978195033313142,-0.6217445,0.48616033016975074,0.48616033016975074,0.002308696,0.18993826,0.0018324081,0.00036890683,0.01133142,0.0010000002,1.0
2300000,0.68341,20.7855906533968,-0.5783376,0.21436100861030996,0.21436100861030996,0.002601509,0.15584216,0.0019665589,0.00051340007,0.015586768,0.0010000002,1.0
2400000,0.92243576,29.21309990944763,-0.6076416,-0.9097056284803381,-0.9097056284803381,0.0013064118,0.2796794,0.000700534,0.00046905535,0.0039484547,0.0010000002,1.0
