Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Self-play/ELO,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
3900000,1.7271678,0.68109316,22.61381438404937,852.3332598885703,0.9586125418575648,0.9586125418575648,0.007542852,0.28749278,8.076584e-05,1.0
4000000,1.5597087,0.6539478,20.385334750265674,874.1479844577239,0.9612585935025109,0.9612585935025109,0.008561865,0.38698345,8.0270795e-05,1.0
4100000,1.4574814,0.640801,18.43343051506317,894.4863366471124,0.9646743180568758,0.9646743180568758,0.007951608,0.4949254,7.975167e-05,1.0
4200000,1.3791075,0.6469222,17.548656163113993,915.4777590454274,0.9664078596899971,0.9664078596899971,0.006589632,0.56504565,7.9248704e-05,1.0
4300000,1.2234088,0.6292646,15.826298974272742,937.0195599215665,0.970606917198104,0.970606917198104,0.0059548076,0.6865564,7.8744786e-05,1.0
4400000,1.1772218,0.6346572,15.81128896377422,956.2040095167035,0.9694369208498003,0.9694369208498003,0.0064940983,0.68985575,7.8230936e-05,1.0
4500000,1.0917416,0.62425476,15.161952481008566,971.7787067738251,0.9718492066646327,0.9718492066646327,0.0059620705,0.76691926,7.7745906e-05,1.0
4600000,0.9987508,0.6123068,14.609021382862494,988.5553288005964,0.9723084210530819,0.9723084210530819,0.005567261,0.8277868,7.725074e-05,1.0
4700000,0.9268717,0.6348771,14.261446886446887,1002.0538219462707,0.9726149921415781,0.9726149921415781,0.0054076565,0.8465469,7.673945e-05,1.0
4800000,0.8125548,0.64376205,13.610283377154543,1016.9291209031973,0.9748064904164189,0.9748064904164189,0.0032750608,0.93797594,7.623659e-05,1.0
4900000,0.7873501,0.6653492,13.37924094307073,1034.4673146305443,0.975791067891685,0.975791067891685,0.0018554348,0.97447395,7.574673e-05,1.0
5000000,0.81838846,0.65243804,13.536503781268179,1046.7556683188493,0.9736691576110685,0.9736691576110685,0.0038788153,0.9320902,7.5255244e-05,1.0
5100000,0.7175655,0.6602595,13.102947398110281,1058.70041675865,0.9759546057022336,0.9759546057022336,0.0028716696,0.99125713,7.474259e-05,1.0
5200000,0.68080777,0.6780256,13.135265017667844,1072.068927378155,0.9764412435878713,0.9764412435878713,0.0015201003,1.0081006,7.423707e-05,1.0
5300000,0.6310396,0.6575972,12.87965019433648,1085.8974072614703,0.9768675432097309,0.9768675432097309,0.0013958683,1.0529014,7.375569e-05,1.0
5400000,0.6907442,0.63116634,13.27097602739726,1097.1460839352,0.975411497532777,0.975411497532777,0.0040537613,0.97862154,7.3250296e-05,1.0
5500000,0.61495245,0.62458926,13.036496350364963,1107.0269595713228,0.9766059485397467,0.9766059485397467,0.0036420694,1.0295923,7.2743685e-05,1.0
5600000,0.605143,0.61771214,12.988250104909778,1116.574282232027,0.9762610758346417,0.9762610758346417,0.004117738,1.0245281,7.2242634e-05,1.0
5700000,0.58074355,0.59062237,12.869764216366159,1126.3336953710873,0.9768839287195722,0.9768839287195722,0.006400499,1.0605372,7.174035e-05,1.0
5800000,0.49571308,0.63043034,12.628594793512335,1136.8396088150726,0.9770536769698878,0.9770536769698878,0.0023743515,1.0876889,7.124605e-05,1.0
5900000,0.48005015,0.64609635,12.484223300970873,1146.2136281638525,0.9775263103450514,0.9775263103450514,0.0021908144,1.1118248,7.075301e-05,1.0
6000000,0.5577431,0.60920405,12.909457579972184,1154.106028526938,0.9762749345727026,0.9762749345727026,0.0051440843,1.0491496,7.0258226e-05,1.0
6100000,0.5477054,0.6091622,12.89894356408118,1162.2245091628577,0.9766229885152091,0.9766229885152091,0.0061869416,1.0467488,6.9760434e-05,1.0
6200000,0.56831235,0.56315386,12.965507610668901,1168.9149512588356,0.9767241696541643,0.9767241696541643,0.00916295,1.0552648,6.925602e-05,1.0
6300000,0.47259063,0.6030549,12.522920892494929,1177.0017457590222,0.9774618195955458,0.9774618195955458,0.0043306714,1.1135398,6.8739966e-05,1.0
6400000,0.4595891,0.5776932,12.648921648921648,1182.8305801561871,0.976798043025181,0.976798043025181,0.00787214,1.0930533,6.824629e-05,1.0
6500000,0.42988783,0.5825252,12.528138528138529,1189.5989485011557,0.9774531215042263,0.9774531215042263,0.007281463,1.10459,6.775446e-05,1.0
6600000,0.40550512,0.56386703,12.519534946599974,1196.9307237910543,0.9774674594249212,0.9774674594249212,0.010550704,1.108981,6.724202e-05,1.0
6700000,0.39520016,0.608674,12.414621059691482,1203.2840396805282,0.9776423158140329,0.9776423158140329,0.005237313,1.1186153,6.6750865e-05,1.0
6800000,0.39160532,0.6187134,12.539607312119161,1210.1022844610573,0.9774341857102407,0.9774341857102407,0.0041343067,1.1005644,6.626209e-05,1.0
6900000,0.3410715,0.59425867,12.286435498870732,1215.8594506360091,0.9776213365166853,0.9776213365166853,0.008081698,1.1386045,6.575146e-05,1.0
7000000,0.39138708,0.6099206,12.520010816657653,1221.202671500217,0.9772397886665529,0.9772397886665529,0.004562415,1.111927,6.524116e-05,1.0
7100000,0.44727564,0.5840885,12.840968858131488,1225.8289394302553,0.976931745412028,0.976931745412028,0.007178317,1.0544835,6.47457e-05,1.0
7200000,0.3602285,0.53300226,12.311193930520432,1231.372689807294,0.9775645491303513,0.9775645491303513,0.019846005,1.1349877,6.425712e-05,1.0
7300000,0.38561392,0.5797518,12.546735302086155,1235.4623980376148,0.9772083610336622,0.9772083610336622,0.009979593,1.0908601,6.374761e-05,1.0
7400000,0.40215385,0.5264397,12.544629554381688,1239.114651772017,0.9774256362334413,0.9774256362334413,0.018062865,1.1120092,6.325587e-05,1.0
7500000,0.4025432,0.4661598,12.443533207851573,1242.2942810072275,0.9769782820642876,0.9769782820642876,0.036780816,1.105305,6.276387e-05,1.0
7600000,0.38904542,0.5796418,12.260575520487999,1245.3734402572547,0.9778992362718592,0.9778992362718592,0.013050792,1.1421247,6.225737e-05,1.0
7700000,0.41390038,0.61476284,12.408554572271386,1249.193295064549,0.9771427283196898,0.9771427283196898,0.0054568597,1.1152596,6.1748106e-05,1.0
7800000,0.3563586,0.63493,12.186049578059071,1252.5849559513174,0.9780232698935623,0.9780232698935623,0.0031130826,1.1602974,6.124123e-05,1.0
7900000,0.34724906,0.6356094,12.106815203145478,1257.291780343023,0.9779589097824821,0.9779589097824821,0.0026881006,1.1746265,6.073786e-05,1.0
8000000,0.3583285,0.647725,12.233621262458472,1262.3639106647863,0.9777271861951464,0.9777271861951464,0.0016435541,1.160877,6.0256334e-05,1.0
8100000,0.3695632,0.5127016,12.419540229885058,1264.116122807832,0.9772275717257497,0.9772275717257497,0.022203526,1.1058567,5.9765367e-05,1.0
8200000,0.3479035,0.52365136,12.280610889774236,1268.2910726488954,0.9778656694914398,0.9778656694914398,0.020112548,1.1512202,5.9259404e-05,1.0
8300000,0.39560434,0.60126364,12.399973165168388,1272.9066901750887,0.9776669980166968,0.9776669980166968,0.010129673,1.1198391,5.875301e-05,1.0
8400000,0.35105526,0.6588684,12.21377672209026,1276.0348589142359,0.9779770108252288,0.9779770108252288,0.0022760557,1.1459186,5.824334e-05,1.0
8500000,0.38368383,0.6000147,12.43089321692411,1280.044345590814,0.9773646528485479,0.9773646528485479,0.0081102345,1.1151458,5.7737518e-05,1.0
8600000,0.3056634,0.57160205,12.076621850933298,1284.1647589869176,0.9782073937013558,0.9782073937013558,0.011599553,1.184796,5.7230063e-05,1.0
8700000,0.36330646,0.60536265,12.398523489932886,1288.3538311941627,0.9776685627343059,0.9776685627343059,0.0062926933,1.1175079,5.6745168e-05,1.0
8800000,0.36453784,0.5230322,12.36460839347768,1291.283574931517,0.9772813204408043,0.9772813204408043,0.021714473,1.1317049,5.6257588e-05,1.0
8900000,0.30323184,0.48691303,12.089659685863875,1294.1416902405788,0.9781839222808159,0.9781839222808159,0.03199038,1.1569985,5.5753215e-05,1.0
9000000,0.39017925,0.5077758,12.6845058855735,1296.8774074451378,0.9767571064814735,0.9767571064814735,0.027447902,1.0852993,5.5246946e-05,1.0
9100000,0.29261082,0.56291616,12.094932565143381,1298.7051718007529,0.978175305884687,0.978175305884687,0.017539144,1.1667595,5.4735487e-05,1.0
9200000,0.35400617,0.5656571,12.347971169247197,1301.8244446022968,0.9775387745567394,0.9775387745567394,0.015506598,1.1181811,5.4252356e-05,1.0
9300000,0.36778104,0.51920277,12.368582887700535,1304.498089934435,0.9777188262678085,0.9777188262678085,0.026670562,1.1281538,5.3766227e-05,1.0
9400000,0.35246196,0.5498803,12.279548472775565,1306.0734074141885,0.9774836844340422,0.9774836844340422,0.019525243,1.1416153,5.325509e-05,1.0
9500000,0.30012262,0.5460323,12.109844016253769,1309.2492511989133,0.9781502581621004,0.9781502581621004,0.019169467,1.1681482,5.2752806e-05,1.0
