Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
560000,0.23492733,30.415384615384614,10.524479,-0.990283823480793,-0.990283823480793,1.0
570000,0.21390967,81.12820512820512,9.555394,-0.9390147222412957,-0.9390147222412957,1.0
580000,0.2769145,45.56201550387597,7.65346,-0.9775616102450796,-0.9775616102450796,1.0
590000,0.26173267,37.988416988416986,6.6259813,-0.9284804781594599,-0.9284804781594599,1.0
600000,0.24543811,34.95798319327731,5.797252,-0.9281142586206337,-0.9281142586206337,1.0
610000,0.27457145,44.438818565400844,5.1476784,-0.9234940198242155,-0.9234940198242155,1.0
620000,0.2753572,40.76958525345622,4.2581816,-0.9161137852156274,-0.9161137852156274,1.0
630000,0.3109372,34.88655462184874,3.6621435,-0.9837404080799648,-0.9837404080799648,1.0
640000,0.33248627,51.96218487394958,2.8491414,-0.9654753244284427,-0.9654753244284427,1.0
650000,0.34461582,32.52542372881356,2.2296817,-0.9512134697972512,-0.9512134697972512,1.0
660000,0.34118438,47.872832369942195,1.9526942,-0.9538690750998569,-0.9538690750998569,1.0
670000,0.380347,52.86206896551724,1.5861046,-0.9138163578363112,-0.9138163578363112,1.0
680000,0.41754064,58.016666666666666,0.98692876,-0.9485809526273182,-0.9485809526273182,1.0
690000,0.4230096,43.84453781512605,0.7852107,-0.9472977975916758,-0.9472977975916758,1.0
700000,0.417444,35.95850622406639,0.5738416,-0.9205571712250729,-0.9205571712250729,1.0
710000,0.38915798,34.35930735930736,0.4190758,-0.9652963042259216,-0.9652963042259216,1.0
720000,0.36435914,48.94838709677419,0.40526557,-0.9616173077852298,-0.9616173077852298,1.0
730000,0.43530235,65.66145833333333,0.21506803,-0.9678021505955727,-0.9678021505955727,1.0
740000,0.48670915,41.833333333333336,0.13202561,-0.9300403779661152,-0.9300403779661152,1.0
750000,0.48814598,65.82323232323232,0.06045887,-0.9437528203695248,-0.9437528203695248,1.0
760000,0.5782458,38.36929460580913,-0.0916013,-0.9279578313770065,-0.9279578313770065,1.0
770000,0.5319555,40.11764705882353,-0.15901591,-0.930565217266912,-0.930565217266912,1.0
780000,0.5334593,46.554913294797686,-0.19372895,-0.9547227272255854,-0.9547227272255854,1.0
790000,0.5339926,47.14746543778802,-0.26092687,-0.8698046756124942,-0.8698046756124942,1.0
800000,0.5729872,42.6221198156682,-0.32750636,-0.9272299090476885,-0.9272299090476885,1.0
810000,0.7048038,58.398009950248756,-0.37997636,-0.8902110043895302,-0.8902110043895302,1.0
820000,0.7399119,38.478599221789885,-0.45831516,-0.94296306152733,-0.94296306152733,1.0
830000,0.6332411,44.58974358974359,-0.45642936,-0.9293106606769078,-0.9293106606769078,1.0
840000,0.7533125,65.47798742138365,-0.49201146,-0.8500942195081986,-0.8500942195081986,1.0
850000,0.7058534,57.47191011235955,-0.5325336,-0.942526301896641,-0.942526301896641,1.0
860000,0.6459766,46.11764705882353,-0.5347088,-0.7782311726499487,-0.7782311726499487,1.0
870000,0.46334273,49.01111111111111,-0.4820908,-0.8812410717918759,-0.8812410717918759,1.0
880000,0.47680646,61.80909090909091,-0.524549,-0.7721304757254465,-0.7721304757254465,1.0
890000,0.69397885,124.42142857142858,-0.56407297,-0.6064017009572918,-0.6064017009572918,1.0
900000,0.68852663,72.97126436781609,-0.5860859,-0.7803520829904647,-0.7803520829904647,1.0
