Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2490000,3.264214,45.47222222222222,-0.5465092,-0.9169645825469935,-0.9169645825469935,1.0
2500000,3.2651336,43.730593607305934,-0.5404514,-0.9274845453825864,-0.9274845453825864,1.0
2510000,3.2638266,49.16256157635468,-0.5527222,-0.9407767325934797,-0.9407767325934797,1.0
2520000,3.265508,46.77511961722488,-0.53480726,-0.914075358632649,-0.914075358632649,1.0
2530000,3.2657912,54.68333333333333,-0.5403474,-0.8999843590752372,-0.8999843590752372,1.0
2540000,3.265604,46.476190476190474,-0.5478101,-0.9054502367408355,-0.9054502367408355,1.0
2550000,3.2652023,49.79187817258883,-0.5479102,-0.9191040611509139,-0.9191040611509139,1.0
2560000,3.2673638,48.613259668508285,-0.538381,-0.8900149191282072,-0.8900149191282072,1.0
2570000,3.2566392,51.87081339712919,-0.5667462,-0.8760016743075905,-0.8760016743075905,1.0
2580000,3.2513204,53.84615384615385,-0.56788254,-0.8905535716931898,-0.8905535716931898,1.0
2590000,3.2521057,44.45454545454545,-0.5803507,-0.8822745450518348,-0.8822745450518348,1.0
2600000,3.2532277,43.81460674157304,-0.576402,-0.9222039120823311,-0.9222039120823311,1.0
2610000,3.2545013,49.605,-0.5776493,-0.9000520131096768,-0.9000520131096768,1.0
2620000,3.2552638,53.104294478527606,-0.57928044,-0.8779536822090851,-0.8779536822090851,1.0
2630000,3.2547934,79.3,-0.573667,-0.926889332930247,-0.926889332930247,1.0
2640000,3.253968,56.64942528735632,-0.5712783,-0.93128936797723,-0.93128936797723,1.0
2650000,3.2521458,53.540983606557376,-0.5794817,-0.8911849729350356,-0.8911849729350356,1.0
2660000,3.2576041,71.56363636363636,-0.5644536,-0.9274399995803833,-0.9274399995803833,1.0
2670000,3.2554164,83.67692307692307,-0.5687866,-0.9080765375724206,-0.9080765375724206,1.0
2680000,3.258014,81.95488721804512,-0.56922096,-0.9700150377768323,-0.9700150377768323,1.0
2690000,3.252759,53.701492537313435,-0.5802826,-0.9406455224426231,-0.9406455224426231,1.0
2700000,3.2551036,55.03351955307262,-0.57228154,-0.9110491622093669,-0.9110491622093669,1.0
2710000,3.257347,54.407407407407405,-0.57880294,-0.938663273681829,-0.938663273681829,1.0
2720000,3.253372,65.37951807228916,-0.57430923,-0.9038301203624312,-0.9038301203624312,1.0
2730000,3.2514393,45.66355140186916,-0.572276,-0.8881324763609985,-0.8881324763609985,1.0
2740000,3.2524772,50.79899497487437,-0.57455975,-0.8904113134547095,-0.8904113134547095,1.0
2750000,3.2496731,44.15348837209302,-0.5784944,-0.9258609294891358,-0.9258609294891358,1.0
2760000,3.2538803,56.61271676300578,-0.5707807,-0.9307872828720622,-0.9307872828720622,1.0
2770000,3.2516088,50.16326530612245,-0.5744828,-0.9390035715638375,-0.9390035715638375,1.0
